response_id,survey_id,response_sensitivity,m1470_meta_enum_sex,m2690_loc_returnees_from_list,m2684_loc_arrivals_from_list,m2967_loc_idp_reason_chose_loc,s1534_loc_loc_access,m1461_loc_return_obs_unit,m2688_loc_arrivals_site_type,m1690_loc_depart_hh,m1535_loc_arrival_time,m0342_loc_site_type_multiple,m2693_loc_returnees_site_type,m2691_loc_area_disp_returnees_adm0_other,m2693_loc_returnees_site_type_other,m1725_meta_interview_type,m2694_loc_top_3_priority_need_returnee_other,m1584_loc_main_depart_reason_other,m1584_loc_main_depart_reason,m2967_loc_idp_reason_chose_loc_other,m2692_loc_reason_return_other,s2878_loc_top_3_priority_need_idp_other,m2688_loc_arrivals_site_type_other,m0329_loc_reason_disp_idp_other,m0329_loc_reason_disp_idp,m2686_loc_arrivals_origin_adm1,m1577_loc_main_dest_adm1,m2691_loc_area_disp_returnees_adm0,m2990_loc_depart_internal,m2687_loc_arrivals_origin_adm3,m2972_loc_num_women_return,m0847_loc_num_return_idp_hh,m2971_loc_num_men_return,m2973_loc_num_children_return,m0851_loc_num_return_idp_ind,m2694_loc_top_3_priority_need_returnee,m2695_loc_returnees_settle_adm4,m2692_loc_reason_return,s1322_loc_return_main_arrival,m1541_loc_num_depart_hh_period,m2685_loc_arrivals_origin_adm2,m0349_loc_depart_period,m1540_loc_num_depart_ind_period,m2968_loc_num_men_idp,m2969_loc_num_women_idp,m1537_loc_num_arrivals_hh,m2970_loc_num_children_idp,m0310_loc_num_idp_ind,s2878_loc_top_3_priority_need_idp,m1536_loc_num_arrival_ind_period,m1727_loc_main_group_arrival_date,m2689_loc_arrivals_settle_adm4,m0445_loc_site_id_ssid,_m1650_loc_gps_coords_altitude,m1650_loc_gps_coords,_m2696_meta_start_gps_altitude,_m1650_loc_gps_coords_precision,m0448_loc_site_name,m0305_meta_adm3_pcode,_m2696_meta_start_gps_precision,m1855_meta_assessment_date,_m2696_meta_start_gps_latitude,_m2696_meta_start_gps_longitude,m2696_meta_start_gps,m1658_meta_assessment_start,m0304_meta_adm2_pcode,_m1650_loc_gps_coords_longitude,_m1650_loc_gps_coords_latitude,m1844_meta_assessment_end,m0302_meta_adm0_pcode,m0489_meta_survey_round,m0303_meta_adm1_pcode,m2991_loc_depart_known,s2878_loc_top_3_priority_need_idp/transport,s2878_loc_top_3_priority_need_idp/communication,s2878_loc_top_3_priority_need_idp/dnk,s2878_loc_top_3_priority_need_idp/reunification,s2878_loc_top_3_priority_need_idp/electricity,s2878_loc_top_3_priority_need_idp/language,s2878_loc_top_3_priority_need_idp/medicines,m2694_loc_top_3_priority_need_returnee/transport,m2694_loc_top_3_priority_need_returnee/education,m2694_loc_top_3_priority_need_returnee/reunification,m2694_loc_top_3_priority_need_returnee/hygiene,m2694_loc_top_3_priority_need_returnee/security,s2878_loc_top_3_priority_need_idp/hygiene,s2878_loc_top_3_priority_need_idp/pnta,s2878_loc_top_3_priority_need_idp/security,s2878_loc_top_3_priority_need_idp/child_spaces,s2878_loc_top_3_priority_need_idp/return_support,s2878_loc_top_3_priority_need_idp/wash,m2694_loc_top_3_priority_need_returnee/communication,s2878_loc_top_3_priority_need_idp/education,m2694_loc_top_3_priority_need_returnee/nfi,m2694_loc_top_3_priority_need_returnee/agricultural_inputs,m2694_loc_top_3_priority_need_returnee/other,s2878_loc_top_3_priority_need_idp/nfi,m2694_loc_top_3_priority_need_returnee/accommodation,m2694_loc_top_3_priority_need_returnee/employment,m2694_loc_top_3_priority_need_returnee/drinking_water,m2692_loc_reason_return/other,s2878_loc_top_3_priority_need_idp/other,m2694_loc_top_3_priority_need_returnee/clothes,m2694_loc_top_3_priority_need_returnee/sanitation,s2878_loc_top_3_priority_need_idp/accommodation,s2878_loc_top_3_priority_need_idp/employment,s2878_loc_top_3_priority_need_idp/business,m2694_loc_top_3_priority_need_returnee/business,m2692_loc_reason_return/returned_assistance,s2878_loc_top_3_priority_need_idp/clothes,s2878_loc_top_3_priority_need_idp/drinking_water,m2694_loc_top_3_priority_need_returnee/health,s2878_loc_top_3_priority_need_idp/sanitation,m2694_loc_top_3_priority_need_returnee/cash,s2878_loc_top_3_priority_need_idp/cash,s2878_loc_top_3_priority_need_idp/health,m2692_loc_reason_return/no_assistance_found,m2694_loc_top_3_priority_need_returnee/shelter,m2692_loc_reason_return/rejoin_family,s2878_loc_top_3_priority_need_idp/shelter,m2694_loc_top_3_priority_need_returnee/food,s2878_loc_top_3_priority_need_idp/food,s2878_loc_top_3_priority_need_idp/recognition_qualifications,s2878_loc_top_3_priority_need_idp/legal_consular,s2878_loc_top_3_priority_need_idp/kindergarten,s2878_loc_top_3_priority_need_idp/information,s2878_loc_top_3_priority_need_idp/none,s2878_loc_top_3_priority_need_idp/pss,s2878_loc_top_3_priority_need_idp/protection,s2878_loc_top_3_priority_need_idp/school_supplies,s2878_loc_top_3_priority_need_idp/reporting,s2878_loc_top_3_priority_need_idp/vocational,m2694_loc_top_3_priority_need_returnee/language,m2694_loc_top_3_priority_need_returnee/information,m2694_loc_top_3_priority_need_returnee/recognition_qualifications,m2694_loc_top_3_priority_need_returnee/medicines,m2694_loc_top_3_priority_need_returnee/dnk,m2694_loc_top_3_priority_need_returnee/child_spaces,m2694_loc_top_3_priority_need_returnee/protection,m2694_loc_top_3_priority_need_returnee/kindergarten,m2694_loc_top_3_priority_need_returnee/legal_consular,m2694_loc_top_3_priority_need_returnee/electricity,m2694_loc_top_3_priority_need_returnee/none,m2694_loc_top_3_priority_need_returnee/pnta,m2694_loc_top_3_priority_need_returnee/school_supplies,m2694_loc_top_3_priority_need_returnee/pss,m2694_loc_top_3_priority_need_returnee/reporting,m2694_loc_top_3_priority_need_returnee/return_support,m2694_loc_top_3_priority_need_returnee/wash,m2694_loc_top_3_priority_need_returnee/vocational
21,3,public,male,NULL,diff_adm1,other,yes,no,dispersed,yes,yes,dispersed,NULL,NULL,NULL,inperson_mobile,NULL,NULL,climate_floods,"Job opportunities ",NULL,NULL,NULL,Job opportunities,other,MW2,MW3,NULL,yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,7,NULL,2024-03-01 00:00:00,18,7,9,5,9,25,drinking_water electricity health,25,2024-09-01 00:00:00,Lulanga,30108013017,531.927124023437,-13.6870378 34.9220021 531.9271240234375 4.931,538.591796875,4.931,Lulanga,MW30110,3.216,2024-12-04 00:00:00.000000,-13.687029,34.9219878,-13.687029 34.9219878 538.591796875 3.216,2024-12-04 10:46:52.000000,MW301,34.9220021,-13.6870378,2024-12-05 08:42:40.000000,MWI,B2_01,MW3,yes,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,NULL,NULL,0,1,NULL,0,NULL,0,1,NULL,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,3,public,male,NULL,diff_adm2,other,yes,no,dispersed,yes,yes,dispersed,NULL,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,Career transfer,NULL,NULL,NULL,To work at school,other,MW3,MW1,NULL,yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,65,MW305,2024-08-01 00:00:00,180,10,11,11,34,55,electricity food shelter,55,2024-09-01 00:00:00,"Ngalawesa [B], Kapyoza",NULL,848.339,-15.6501395 35.2604186 848.339 0.93,833.287,0.93,Sandareki,MW30408,1.018,2024-11-23 00:00:00.000000,-15.6499769,35.2605322,-15.6499769 35.2605322 833.287 1.018,2024-11-22 16:32:11.000000,MW304,35.2604186,-15.6501395,2024-12-03 08:25:47.000000,MWI,B2_01,MW3,yes,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,NULL,NULL,0,0,NULL,0,NULL,0,0,NULL,NULL,NULL,1,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,3,public,male,NULL,diff_adm3,other,yes,no,camp,no,yes,dispersed,NULL,NULL,NULL,inperson_mobile,NULL,NULL,NULL,Looking for farming land,NULL,NULL,NULL,"Lack of farming land ",other,MW3,NULL,NULL,NULL,MW30109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,NULL,MW301,NaT,NULL,6,3,4,14,23,food shelter cash,23,2024-09-01 00:00:00,Mapata,30108039049,488.527954101562,-13.9354274 35.1367038 488.5279541015625 4.824,487.8291015625,4.824,Mapata,MW30109,4.288,2024-11-26 00:00:00.000000,-13.9354154,35.1367181,-13.9354154 35.1367181 487.8291015625 4.288,2024-11-26 11:23:24.000000,MW301,35.1367038,-13.9354274,2024-12-03 18:08:00.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,NULL,NULL,0,0,NULL,0,NULL,1,0,NULL,NULL,NULL,1,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,3,public,male,NULL,diff_adm3,other,yes,no,dispersed,no,yes,dispersed,NULL,NULL,NULL,inperson_mobile,NULL,NULL,NULL,Marriage,NULL,Marriage,NULL,Marriage,other,MW3,NULL,NULL,NULL,MW30401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,NULL,MW304,NaT,NULL,3,3,7,24,30,health food other,30,2024-08-01 00:00:00,"Nakoli, Kapeya, Kapeya",30401011044,1058.39331054687,-15.6441401 35.1719358 1058.393310546875 3.859,1058.39331054687,3.859,Nakoli,MW30401,3.859,2024-11-25 00:00:00.000000,-15.6441401,35.1719358,-15.6441401 35.1719358 1058.393310546875 3.859,2024-11-25 14:42:40.000000,MW304,35.1719358,-15.6441401,2024-11-26 22:40:46.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,0,0,NULL,NULL,0,0,NULL,0,NULL,0,1,NULL,NULL,NULL,0,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,3,public,male,NULL,diff_adm2,livelihood,yes,no,dispersed,no,yes,dispersed,NULL,NULL,NULL,inperson_mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Buying land,other,MW3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,NULL,MW305,NaT,NULL,128,118,70,244,490,food business employment,490,2023-10-01 00:00:00,"Kalanje, Ntapo, Mitawa",NULL,891.217,-15.8478583 35.1704586 891.217 1.946,931.093,1.946,Kalanje,MW30402,1.888,2024-12-06 00:00:00.000000,-15.8443024,35.1693119,-15.8443024 35.1693119 931.093 1.888,2024-12-07 12:18:17.000000,MW304,35.1704586,-15.8478583,2024-12-10 11:48:51.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,1,1,NULL,NULL,0,0,NULL,0,NULL,0,0,NULL,NULL,NULL,0,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,3,public,female,NULL,diff_adm2,livelihood,yes,no,dispersed,no,yes,dispersed,NULL,NULL,NULL,remote_inperson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Drought and insufficient land for cultivation,climate_drought,MW3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,NULL,MW308,NaT,NULL,39,61,45,68,168,food shelter drinking_water,168,2023-10-01 00:00:00,Kwasowanjovu,30102003003,818.912,-14.6519748 34.9538662 818.912 9.589,813.727,9.589,Kwasowanjovu,MW30113,4199.999,2024-11-24 00:00:00.000000,-14.6584761,34.9532464,-14.6584761 34.9532464 813.727 4199.999,2024-11-25 10:40:26.000000,MW301,34.9538662,-14.6519748,2024-11-26 17:19:12.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,NULL,NULL,0,1,NULL,0,NULL,0,0,NULL,NULL,NULL,1,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,3,public,male,NULL,diff_adm2,economic,yes,no,dispersed,no,yes,dispersed,NULL,NULL,NULL,inperson_mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Economic ",other,MW3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,NULL,MW313,NaT,NULL,8,13,6,6,27,drinking_water health food,27,2024-06-01 00:00:00,Lukoloma,30108035043,478.664245605468,-13.829831 35.1017218 478.66424560546875 4.824,474.995849609375,4.824,Lukoloma,MW30109,6.432,2024-11-26 00:00:00.000000,-13.8297846,35.1018775,-13.8297846 35.1018775 474.995849609375 6.432,2024-11-26 13:01:02.000000,MW301,35.1017218,-13.829831,2024-11-26 18:29:58.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,NULL,NULL,0,1,NULL,0,NULL,0,1,NULL,NULL,NULL,0,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,3,public,male,NULL,diff_adm2,economic,yes,no,dispersed,yes,yes,dispersed,NULL,NULL,NULL,inperson_mobile,NULL,NULL,environment_health,NULL,NULL,NULL,NULL,"Economic ",other,MW3,MW3,NULL,both,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,15,MW308,2024-04-01 00:00:00,60,8,16,8,11,35,food cash nfi,35,2023-11-01 00:00:00,M'dala,30108039048,474.200439453125,-13.9663048 35.1476586 474.200439453125 4.288,467.302856445312,4.288,M'dala,MW30109,4.288,2024-12-01 00:00:00.000000,-13.9663378,35.1476934,-13.9663378 35.1476934 467.3028564453125 4.288,2024-11-26 10:02:32.000000,MW301,35.1476586,-13.9663048,2024-12-02 16:04:10.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,NULL,NULL,0,0,NULL,0,NULL,1,0,NULL,NULL,NULL,0,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,3,public,female,NULL,diff_adm2,livelihood,yes,no,dispersed,yes,yes,dispersed,NULL,NULL,NULL,remote_inperson,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,Flash floods and lack of shelters,climate_floods,MW3,MW3,NULL,yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,1,MW312,2024-10-01 00:00:00,3,0,3,3,9,12,food shelter drinking_water,12,2024-07-01 00:00:00,Mlongoti,30102010010,843.351,-14.6527422 34.9527229 843.351 0.622,807.824,0.622,Mlongoti,MW30113,9.715,2024-11-25 00:00:00.000000,-14.652691,34.9526866,-14.652691 34.9526866 807.824 9.715,2024-11-25 11:04:20.000000,MW301,34.9527229,-14.6527422,2024-11-27 16:19:41.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,NULL,NULL,0,1,NULL,0,NULL,0,0,NULL,NULL,NULL,1,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,3,public,female,NULL,diff_adm2,livelihood,yes,no,dispersed,no,yes,dispersed,NULL,NULL,NULL,inperson_mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,He didn't ask them,other,MW3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NaT,NULL,MW307,NaT,NULL,0,2,3,5,7,food shelter cash,7,2024-08-01 00:00:00,"Nkaweya, 0",30102008008,734.339,-14.6317941 34.9106151 734.339 1.1,712.977,1.1,Nkaweya,MW30113,1.882,2024-11-18 00:00:00.000000,-14.6314044,34.9103624,-14.6314044 34.9103624 712.977 1.882,2024-11-25 09:07:48.000000,MW301,34.9106151,-14.6317941,2024-11-25 16:05:42.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,NULL,NULL,0,0,NULL,0,NULL,1,0,NULL,NULL,NULL,1,NULL,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
