OBJECTID,COUNTRY,ISO3,ISO2,ADM1_NAME,ADM1_CODE,ADM1_ID,ADM1_Type,ADM2_NAME,ADM2_CODE,ADM2_ID,ADM2_Type,ADM3_NAME,ADM3_CODE,ADM3_ID,ADM3_Type,Latitude,Longitude
184585,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,TA Mwabulambya,MW10101,1,Traditional Area,-9.75936494,33.37210153
184586,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,STA Bulambya Songwe,MW10102,2,Traditional Area,-9.56364596,33.29099299
184587,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,TA Mwenemisuku,MW10103,3,Traditional Area,-9.74550812,33.53558568
184588,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,STA Lwangwa,MW10104,4,Traditional Area,-9.6621727,33.61269998
184589,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,TA Mwenewenya,MW10105,5,Traditional Area,-10.05879882,33.48084847
184590,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,TA Nthalire,MW10106,6,Traditional Area,-10.31555486,33.63549413
184591,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,STA Nthengatenga,MW10107,7,Traditional Area,-10.17292356,33.67862676
184592,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,STA Wavikaza,MW10108,8,Traditional Area,-10.42995961,33.64332225
184593,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,TA Kameme,MW10109,9,Traditional Area,-9.5239927,33.06439541
184594,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,Nyika Ntational Park-Chitipa,MW10110,10,Traditional Area,-10.41009386,33.8018529
184595,Malawi,MWI,MW,Northern,MW1,1,Region,Chitipa,MW101,1,District,Chitipa Boma,MW10120,20,Traditional Area,-9.69972371,33.26770403
184596,Malawi,MWI,MW,Northern,MW1,1,Region,Karonga,MW102,2,District,TA Kilupula,MW10201,1,Traditional Area,-9.76875785,33.80875601
184597,Malawi,MWI,MW,Northern,MW1,1,Region,Karonga,MW102,2,District,TA Mwakaboko,MW10202,2,Traditional Area,-9.65741161,33.75418589
184598,Malawi,MWI,MW,Northern,MW1,1,Region,Karonga,MW102,2,District,TA Kyungu,MW10203,3,Traditional Area,-10.01450176,33.79340536
184599,Malawi,MWI,MW,Northern,MW1,1,Region,Karonga,MW102,2,District,TA Wasambo,MW10204,4,Traditional Area,-10.44646136,34.16783688
184600,Malawi,MWI,MW,Northern,MW1,1,Region,Karonga,MW102,2,District,TA Mwirang'ombe,MW10205,5,Traditional Area,-10.30587561,34.07876898
184601,Malawi,MWI,MW,Northern,MW1,1,Region,Karonga,MW102,2,District,Nyika National Park-Karonga,MW10206,6,Traditional Area,-10.35788022,33.96644989
184602,Malawi,MWI,MW,Northern,MW1,1,Region,Karonga,MW102,2,District,Karonga Town,MW10220,20,Traditional Area,-9.94936701,33.91342926
184603,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Kabunduli,MW10301,1,Traditional Area,-11.74540581,33.94465404
184604,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Fukamapiri,MW10302,2,Traditional Area,-11.95620995,34.0451465
184605,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Malenga Mzoma,MW10303,3,Traditional Area,-11.9118665,34.13648118
184606,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Malanda,MW10304,4,Traditional Area,-11.80961543,34.14097426
184607,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Zilakoma,MW10305,5,Traditional Area,-12.1172192,33.92217806
184608,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Mankhambira,MW10306,6,Traditional Area,-11.68420366,34.27444625
184609,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Fukamalaza,MW10307,7,Traditional Area,-11.73463876,34.20104571
184610,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Mkumbira,MW10308,8,Traditional Area,-11.58967306,34.26767272
184611,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA M'bwana,MW10309,9,Traditional Area,-11.23307929,34.13565027
184612,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,STA Nyaluwanga,MW10310,10,Traditional Area,-11.3579117,34.13795559
184613,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,STA Kondowe,MW10311,11,Traditional Area,-11.07236093,34.17189344
184614,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Timbiri,MW10312,12,Traditional Area,-11.53608386,34.18122073
184615,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,TA Boghoyo,MW10314,14,Traditional Area,-11.11462262,34.19231403
184616,Malawi,MWI,MW,Northern,MW1,1,Region,Nkhatabay,MW103,3,District,Nkhatabay Boma,MW10320,20,Traditional Area,-11.60308069,34.28638389
184617,Malawi,MWI,MW,Northern,MW1,1,Region,Rumphi,MW104,4,District,TA Chikulamayembe,MW10401,1,Traditional Area,-10.96527411,33.68353353
184618,Malawi,MWI,MW,Northern,MW1,1,Region,Rumphi,MW104,4,District,TA Mwamlowe,MW10402,2,Traditional Area,-10.83812733,34.17491219
184619,Malawi,MWI,MW,Northern,MW1,1,Region,Rumphi,MW104,4,District,TA Mwahenga,MW10403,3,Traditional Area,-10.84578781,34.00977536
184620,Malawi,MWI,MW,Northern,MW1,1,Region,Rumphi,MW104,4,District,TA Mwalweni,MW10404,4,Traditional Area,-10.70308169,34.11242303
184621,Malawi,MWI,MW,Northern,MW1,1,Region,Rumphi,MW104,4,District,STA Kachulu,MW10405,5,Traditional Area,-10.67394431,34.07210024
184622,Malawi,MWI,MW,Northern,MW1,1,Region,Rumphi,MW104,4,District,STA Chapinduka,MW10406,6,Traditional Area,-10.96111915,34.18316534
184623,Malawi,MWI,MW,Northern,MW1,1,Region,Rumphi,MW104,4,District,TA Mwankhunikira,MW10407,7,Traditional Area,-10.95693198,34.0749437
